source,target,overlap
/home/ubuntu/Masterarbeit/dataset005/robot/k4/60/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.357809
/home/ubuntu/Masterarbeit/dataset005/robot/k4/60/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.359431
/home/ubuntu/Masterarbeit/dataset005/robot/k4/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.420686
/home/ubuntu/Masterarbeit/dataset005/robot/k4/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.421351
/home/ubuntu/Masterarbeit/dataset005/robot/k4/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.420577
/home/ubuntu/Masterarbeit/dataset005/robot/k4/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.263577
/home/ubuntu/Masterarbeit/dataset005/robot/k4/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.262923
/home/ubuntu/Masterarbeit/dataset005/robot/k4/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.263016
/home/ubuntu/Masterarbeit/dataset005/robot/k5/0/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.635262
/home/ubuntu/Masterarbeit/dataset005/robot/k5/0/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.634887
/home/ubuntu/Masterarbeit/dataset005/robot/k5/0/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.63507
/home/ubuntu/Masterarbeit/dataset005/robot/k5/30/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.558209
/home/ubuntu/Masterarbeit/dataset005/robot/k5/30/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.558691
/home/ubuntu/Masterarbeit/dataset005/robot/k5/30/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.560084
/home/ubuntu/Masterarbeit/dataset005/robot/k5/60/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.292396
/home/ubuntu/Masterarbeit/dataset005/robot/k5/60/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.29347
/home/ubuntu/Masterarbeit/dataset005/robot/k5/60/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.292979
/home/ubuntu/Masterarbeit/dataset005/robot/k5/330/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.564372
/home/ubuntu/Masterarbeit/dataset005/robot/k5/330/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.566385
/home/ubuntu/Masterarbeit/dataset005/robot/k5/330/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.563364
/home/ubuntu/Masterarbeit/dataset005/robot/k5/300/0.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.349412
/home/ubuntu/Masterarbeit/dataset005/robot/k5/300/1.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.349015
/home/ubuntu/Masterarbeit/dataset005/robot/k5/300/2.ply,/home/ubuntu/Masterarbeit/dataset005/ceiling/0.ply,0.349582
